Texto,Texto,Texto,,,,,
,,In media coverage late Monday and through the day Tuesday political commentators wrestled with whether Trump fully understood the term in its dark historical contexts (racism and even Nazism among them) or alternatively meant only to characterize himself as a patriot under a different label. Was he chiefly trolling his critics and the notion of political correctness, Was he merely seeking to amuse an audience likely to delight in transgressive speech,,,,
,"Verizon Communications Inc. VZ +4.06%

     shares gained 4.1% after the communications giant beat analysts earnings and sales forecasts.",,,,,,
,Centene Corp. CNC -4.91% slid 4.9% after the company lowered the high-end of its 2018 profit guidance.,,,,,,
• Tilray is the poster boy of short-squeeze stock candidates — here’s how to find others,,,,,,,
,,The House bill moreover would prevent healthcare providers from earning profits the White House official said.,,,,,
,,One factor that made that plunge worse analysts recall was forced selling by traders who loaded up on leverage pushing margin debt to a record ahead of the crash. This time around the concern centers on companies and shareholders that have pledged stock as collateral for loans. As in 2015 that runs the risk of kicking off a vicious cycle in which falling stock prices leads to forced selling as pledged shares are liquidated in turn leading to further falls in stock prices.,,,,,
Of course the residents of these cities who are raking in the “mailbox money” are doing much better than many Americans. Despite a seemingly strong economy nearly 40% of adults say their families have had trouble meeting at least one basic need for food health care housing or utilities in the last year according to a report by the Urban Institute a nonpartisan nonprofit policy group based in Washington D.C.,,,,,,,
,,"The Shanghai Composite Index SHCOMP -2.26%

     gave back part of a two-day rally falling 2.3% on Tuesday.",,,,,
Please also read:,,,,,,,
,,"JAB the investment company which manages the fortune of Germany’s Reimann family has spent billions to acquire coffee brands around the world including Keurig Green Mountain KDP -0.75%

      (which merged with Dr Pepper Snapple Group earlier this year) and Peet’s Coffee & Tea. In June JAB shelled out £1.5 billion for British food chain Pret a Manger.",,,,,
,,Gerald Wolanin a CPA in Willoughby Hills Ohio has one solution: Sell the property under IRS Code Section 1031 tax-free exchange requirements and invest the proceeds in a Real Estate Investment Trust that accepts IRS Code Section 1031 funds. “That will defer federal capital gain taxes due on the sale of the property continue to receive monthly/quarterly income and eliminate any requirement to manage the property” he said.,,,,,
,,It’s not just the left. A poll conducted by Hill.TV and the HarrisX polling company found that 52% of Republicans surveyed said they supported Medicare for all which would put in place a single-payer health-care system.,,,,,
,,TARIFF DEFENSE,,,,,
,,A couple of things spring to mind that would make rolling to an IRA less attractive. One would be if you were planning to separate from service at your current employer before age 59½ but in or after the year you turn 55. In that circumstance you can get money out of the 401(k) without paying the customary 10% penalty for being under age 59½.,,,,,
,October is living up to its infamous reputation as a volatile month for stocks with major indexes down sharply and there is likely more pain ahead for investors according to one prominent Wall Street analyst.,,,,,,
,Providing critical information for the U.S. trading day. Subscribe to MarketWatch's free Need to Know newsletter. Sign up here.,,,,,,
,Related:  Tesla’s sales in the U.S. are gaining on BMW and other luxury car makers,,,,,,
,,Each unit currently rents for $1900 per month. There is no mortgage and the largest annual expenses are taxes and insurance which total about $6000 per year. The property is in good condition and I do not anticipate any major expenses in the near future. There are minor repairs and maintenance throughout the year which typically cost no more than $1000.,,,,,
The question for early retirees is: “To what am I dedicating my freedom,” It’s really not about how many millions you have — Suze’s assertion. Nor how much play you can do before you get bored and go back to your old job.,,,,,,
,,Then there are other economic policies at risk Katz added: trade relations with Canada and China loose regulations on small businesses. “Democrats seem to want to return to a higher tax higher regulation and bigger government environment” he said. “As we have seen from the previous administration this is not good for economic growth job creation and in the long term fundamental strength of the stock market.”,,,,,
,,Read: Women live longer than men everywhere — here’s why,,,,,
,,• The mistake committed by the financial institution was the reason the 60-day window was missed,,,,,
,,A pain medication being developed by pharmaceutical giants Pfizer Inc. and Eli Lilly & Co. showed promise in a large clinical trial as a treatment for osteoarthritis the companies said late Tuesday.,,,,,
,,To be sure obvious factors in a home’s sale including property’s location and the timing of the sale accounted for about 30% of home-price variability. Another 30% or so is determined by such “standard housing attributes” as square footage the year of construction and number of bathrooms. But just under 12% of pricing variables had to do with the visual images the researchers plotted. That sliver could have a big impact on a home’s pricing: It accounted for $68000 of the price for the mean sampled home.,,,,,
,In “Your Money or Your Life” we promised FI as a reward for systematically examining your relationship with money. I think this is what most people attracted to FIRE really want. Independence of thought. Of how they use their time. Of options. Of choices. Of dedicating their attention to something less soul-searing than cubicle life or the endless boring meetings of middle management. Retirement and freedom are two different animals. Doing “nothing” and doing your passion full-time are not even the same species.,,,,,,
,,The backlash could grow after Turkish President Recep Tayyip Erdogan on Tuesday described the killing of Khashoggi as a “vicious violent murder” and said Turkey had “strong evidence that this murder was planned.” After initially denying any involvement in the disappearance the Saudis said Friday that the journalist a U.S. resident died following an altercation inside the Saudi consulate in Istanbul on Oct. 2.,,,,,
,,The researchers also tested whether the appearance of neighboring homes impact value and they concluded that there’s “a strong spillover from the visually predicted price of a neighbor’s home.” In fact the closer the better: Neighboring homes on the same street rather than on nearby streets have the biggest impact.,,,,,
I suspect that Suze had a blast in her own way but she didn’t find anything in herself that wasn’t Suze so crawled back into that identity — and then asked to be on FIRE bloggers’ podcasts to relaunch Suze.,,,,,,,
,,In the Oct. 22 filing AlibabaBABA -1.44% said “with the benefit of evidence obtained through discovery” they believe that the cryptocurrency firm has published further promotional material that uses its trademarks to align itself with the Chinese conglomerate which helped in its attempt to raise $3.5 million in an initial coin offering (ICO) a crowdfunding tool for crypto-related ventures.,,,,,
,,Trump said “inept politicians” in Puerto Rico were trying to use “ridiculously high” amounts of hurricane relief to pay off debts. As the Washington Post pointed out however neither Puerto Rico Gov. Ricardo Rosselló or a federal board that oversees the territory’s finances have argued that federal disaster relief funds should be used to directly pay off debts.,,,,,
On Friday the SOX index hit a so-called “death cross” or when the 50-day moving average crosses below the 200-day moving average a technical indicator that suggests a bear market is on the horizon. The last time the SOX index’s 50-day moving average was below its 200-day moving average was April 13 2016 according to FactSet data. Since then the SOX index has rallied 80% compared with a 51% gain in the Nasdaq and 32% advance in the S&P 500.,,,,,,,
,,What’s even weirder the professors note is that this phenomenon has persisted even though everyone now knows about it.,,,,,
,,See: Worth the splash, Here’s how — and for how much — Americans are upgrading their bathrooms,,,,
“There is unlimited downside risk in the market right now and I don’t think it’s being respected” he wrote. “It’s not until afterwards that they ask ‘what happened,’” When the bottom falls out that’s when the blaming begins.,,,,,,
,,But first: About Wall Street and witchcraft. And no this is not a trick.,,,,,
,On top of that some 150 companies were slated to report earnings including several megacap companies with investors seeking the degree to which higher interest rates are impacting the economy as the Federal Reserve has indicated it will continue to tighten monetary policy by year’s end.,,,,,,
,Marijuana stocks suffered broad and sharp losses Monday and were headed for their worst five-session skid in over eight months as full-legalization in Canada appears to have taken the shine off the sector despite early indications of strong demand.,,,,,,
Get a daily roundup of the top reads in personal finance delivered to your inbox. Subscribe to MarketWatch's free Personal Finance Daily newsletter. Sign up here.,,,,,,,
,,I think many effective women leaders are justifiably confused when they get vague feedback like this as well as other nonactionable suggestions for improvement.,,,,,
,"United Technologies Corp. UTX +2.86%

     reversed earlier losses to add 2.9% after the firm beat third-quarter profit and sales expectations.",,,,,,
,,“There’s really no economic justification for not allowing the a la carte menu” like the ShowPal model Harris said in an interview. “I think there’s a real potential there just because technology has changed how we search for homes.”,,,,,
,,Get a daily roundup of the top reads in personal finance delivered to your inbox. Subscribe to MarketWatch's free Personal Finance Daily newsletter. Sign up here.,,,,,
,,The UBS team offered caveats such as the fact that they’ve included tariff equivalents for non-tariff barriers that would arise in a hard Brexit. “We wanted to give some sense of the jump in trade disruption” the economists wrote.,,,,,
,Please click here for the updated chart showing money flows in marijuana stocks.,,,,,,
,,Democratic Senate candidate Beto O’Rourke has topped all other American politicians in spending on Facebook ads according to a new report from the social network.,,,,,
,• It is important to understand the most important concept: Marijuana stocks move based on what happens at the margin. At the margin there are two kinds of players: smart money and momo. The chart above separately shows momo money flows and smart money flows. We have been sharing with you for a while that the smart money has been selling marijuana stocks into the strength. We also gave a signal to sell trade-around positions in marijuana stocks at the top.,,,,,,
For myself post-FI life has thrown plenty my way. Cancer. The death of a partner. Homeowner miseries like a flooded basement failed siding and carpenter ants. But none of this has thrown me. I find that much of what happens in early retirement can be addressed fairly easily through a combination of building close relationships with family and friends insurance a prudent stash in a money-market fund level-headed and lower-cost choices a MacGyver DIY knack and some gigging.,,,,,,,
,,Merkel shifts on U.S. gas imports,,,,,
,,One great detail from the working paper: “There is considerable variation in both interior and exterior space across Boston homes” the researchers note. In the next paragraph they couldn’t help but explain further: “One home in the sample appears to have 21 full bathrooms.”,,,,,
,Retiring forward is using this crisis of identity to grow spiritually or take on some of the bigger issues in the world through volunteering study serving on boards entrepreneurship training or social innovations. Or they attend to the relationships they neglected as they hurried to their million or two.,,,,,,
In its Tuesday note however Citron said that while “the media has been focused on Elon Musk’s eccentric outlandish and at times offensive behavior it has failed to notice the legitimate disruption of the auto industry that is currently being DOMINATED by Tesla” using all caps.,,,,,,,
,Select stocks are now coming into buy zones. The stocks that come into the buy zones may be accumulated by slowly scaling in. In contrast other marijuana stocks should be sold and even sold-short (betting on a decline).,,,,,,
That study was a collaboration between the Universities of Sydney Cambridge Edinburgh Limerick and Ulster. It linked mortality records with the results of 11 population-based surveys in the U.K. between 1994 and 2008 in which participants reported their walking pace. Average pace walkers aged 60 years or over experienced a 46% reduction in risk of death from cardiovascular causes.,,,,,,,
Analysts polled by FactSet expect Tesla to report an adjusted loss of 3 cents a share on sales of $6.01 billion. That would compare with an adjusted loss of $2.92 a share on sales of $2.99 billion in the year-ago period.,,,,,,,
,,That didn’t stop Katie Fischer and her husband Andrew from trying to go the FSBO route this summer. They weren’t quite ready to move – the couple is having a home custom-built in a school district that seems like a better fit for their two young pre-schoolers – but hated to let the red-hot Des Moines market pass them by.,,,,,
,,Having ambition and speaking with authority are not aggressive acts.,,,,,
But even in the narrowest possible construction the cost of funding such a reduction would be several times the funding level needed for the wall the president wants on the southern border of the U.S.,,,,,,,
In “Your Money or Your Life” we promised FI as a reward for systematically examining your relationship with money. I think this is what most people attracted to FIRE really want. Independence of thought. Of how they use their time. Of options. Of choices. Of dedicating their attention to something less soul-searing than cubicle life or the endless boring meetings of middle management. Retirement and freedom are two different animals. Doing “nothing” and doing your passion full-time are not even the same species.,,,,,,,
“I’m telling you I just did it for three years on my private island. I retired at 65. I shut down the Suze Orman show. I sold five homes. I got rid of five cars. I stopped going on QVC. I stopped writing for Oprah’s magazine. I stopped giving talks. I stopped doing everything and I had a great time for three years. I learned how to fish. I learned how to win tournaments. I learned how to be the captain on my boat. and all of a sudden it was like “Oh there’s still stuff for me to do.” Now. I was in a field that everybody welcomed me back when I came back. They were excited to see me in the halls of NBC and MSNBC and everywhere that I went this past week.”,,,,,,,
,Growth names—those reflecting companies whose profits grow consistently and at faster clip than the overall market—have come under increasing pressure as investors’ focus shifted to value stocks while the tech sector which had outperformed other industries this year is also beating a hasty retreat. Value investing typically refers to concentrating in shares of companies trading below certain intrinsic measure.,,,,,,
,,The report uses short waiting lines for seniors — all of whom it must be pointed out qualify for care under Medicare — to demonstrate what’s at risk from a switch to more Medicare:,,,,,
,Providing critical information for the U.S. trading day. Subscribe to MarketWatch's free Need to Know newsletter. Sign up here.,,,,,,
,• Smart money flows are extremely negative in Tilray TLRY -1.48% and marijuana ETF MJ -2.88%,,,,,,
Here is the full list.,,,,,,,
• Smart money flows are neutral in Green Organic Dutchman Holdings TGODF -1.90%,,,,,,,
,,A new academic paper confirms what real-estate agents and reality-television shows have been telling homeowners for years: Curb appeal matters.,,,,,
,,When it comes to raking in “mailbox money” residents of some cities are doing better than others. In some cases much much better.,,,,,
,,The American Petroleum Institute an industry trade group will release its weekly inventory data late Tuesday ahead of the EIA’s supply report.,,,,,
,"The Dow Jones Industrial Average DJIA -0.50%

     fell 125.98 or 0.5% to 25191.43 after being down more than 500 points earlier. The S&P 500 SPX -0.55%

     shed 15.19 points or 0.6% to 2740.69 while the Nasdaq Composite Index COMP -0.42% slid 31.09 points or 0.4% to 7437.54.",,,,,,
,,Illinois Democrat J.B. Pritzker via the JB for Governor group ranks third with $2 million in outlays. He is running to become the state’s governor. Pritzker has a commanding 15.7-point lead in the RealClearPolitics poll average.,,,,,
,,President Donald Trump isn’t just taking credit for rising 401(k) balances in his tweets — he may be urging Americans to vote Republican during the coming midterm elections.,,,,,
,I suspect that Suze had a blast in her own way but she didn’t find anything in herself that wasn’t Suze so crawled back into that identity — and then asked to be on FIRE bloggers’ podcasts to relaunch Suze.,,,,,,
,,Don’t miss:   The message older voters will send in the midterm elections,,,,,
,,Pam Kostka a serial entrepreneur who is now CEO of a stealth-mode mobile startup was given the title “dragon lady” but she did not change her management approach.,,,,,
,,Credit Suisse analyst Stephen Ju took a similar view projecting “ongoing DAU attrition” for the second half of the year.,,,,,
Assuming a 19% tax rate and a pretty generous $1.19 in additional GDP per each rebate dollar and now the program costs about $64 billion for a single year.,,,,,,,
,,My husband of 21 years is expecting an inheritance payout in the next month or two. He wants to use the money to pay off the mortgage on our home. I am familiar with “co-mingling” and am sure he is as well. If the money is not co-mingled will I be required to pay him half of the amount used to pay off the mortgage if we divorce before the end of the year, If so is there a set amount of time that has to pass from the time the mortgage is paid until we divorce for me to not be required to repay him,,,,
,,It sounds like something out of a ghost story or a fairy tale. But Halloween the night of the dead isn’t just the best time of year for goblins and warlocks.,,,,,
,,Also see:   Already paid less than men women are still asked to do the ‘office housework’,,,,,
,,She told me: “I never backed down from being aggressive or direct just because somebody was going to criticize me for it. I won’t apologize for being a woman. I tend to have a direct communication style which is also penalized in women. Women are supposed to be more empathetic in their style but I am more direct and logical. Maybe I am that way because I need to be in order to get my voice heard.”,,,,,
,,“The ongoing weakness in the yuan USDCNY +0.0014% means demand for dollar-denominated commodities from China has undoubtedly been affected. With the Chinese stock markets also falling this has probably also reduced their purchasing power” Razaqzada.,,,,,
He suggests simple activities such as standing up and walking at a casual pace. “There is a lot of evidence now that sitting for long periods is bad for health” Ramadi said. His study enrolled 132 patients with coronary artery disease and an average age of 63 years, 77% were men. Participants wore an arm band activity monitor for an average of 22 hours a day for five days.,,,,,,
,,Read: Big drops for AMD and Nvidia fuel ‘death cross’ for chip sector ahead of earnings,,,,,
,,When financial advisers meet a new client they may ask lots of questions about income investments and spending habits. Then they craft a financial plan built around the client’s answers addressing areas such as asset allocation taxes and retirement.,,,,,
,,The rejection’s line of reasoning her lawyers argued would make rarified achievements like the Heisman Trophy and an NFL Most Valuable Player awards no big deal. After all the suit claimed trophy winners were confined to members of accredited schools and MVP winners had to play in the small ranks of pro football players.,,,,,
,"“While it was difficult for provinces and experts to predict just what the demand for cannabis would be once legalized the actual demand far exceeds any reasonable expectations” said Quebec-based Hexo Corp. in a statement. The company added that it has delivered on all orders since full legalization and has also replenished its stock but the shares HEXO +0.52%

    
HYYDF +0.56%

    slid 13% on Monday.",,,,,,
People don’t have to follow my path of service spirituality and social innovation. There are so many ways to use your time for happiness meaning purpose and contribution. At the end of the day we all want to have a well-lived life. Five houses and five cars and a private island — without a higher purpose — mean nothing.,,,,,,,
,,Financial advisers registered with state regulators or the Securities and Exchange Commission owe clients “a duty of undivided loyalty and utmost good faith.” You should ask this adviser and any future adviser “Are you a fiduciary,” See if he is registered. Check the National Association of Personal Financial Advisors and CFP Board to see if he was ever disciplined. This could be a public Letter of Admonition a temporary suspension of the individual’s CFP certification or its permanent revocation depending on the severity and circumstances.,,,,
,,I would appreciate your input on this. I am looking at doing a like-kind transfer of her holdings to a large discount broker which my sister agrees with. If he was taking advantage of the situation do we contact a particular government branch re: financial fraud, Even before dementia my mother was not a well-informed investor and I am regretting not following her investments closer.,,,,
,"The stock market opened with a resounding thud on Tuesday morning as the Dow Jones Industrial Average DJIA -0.50%  at one point had shed more than 500 points. The S&P 500 index SPX -0.55%

     and the Nasdaq Composite COMP -0.42%

     endured even harder hits down more than 2% each.",,,,,,
,• Smart money flows are only mildly negative in Aurora Cannabis ACB -11.39% and Canopy Growth CGC -1.42%,,,,,,
,,Veres adds that because many people have not considered what they really want out of life an adviser can forge lasting bonds with clients by facilitating this all-important discovery process.,,,,,
,,Related:  As powerful new opioid nears FDA approval critics ask if U.S. is stoking its drug crisis,,,,,
,,"The trial’s safety results will likely be a particular focus of investor scrutiny. In clinical trials held years ago individuals with osteoarthritis had their conditions worsen while taking this class of drugs. For Pfizer PFE -0.61%

     and Eli Lilly’s LLY -1.46%

     drug tanezumab that concern and a related clinical hold delayed development by several years.",,,,,
,,“Evidence submitted was completely ignored Fortino-Brown said.,,,,,
Retiring forward is using this crisis of identity to grow spiritually or take on some of the bigger issues in the world through volunteering study serving on boards entrepreneurship training or social innovations. Or they attend to the relationships they neglected as they hurried to their million or two.,,,,,,,
,,Related:  Pfizer Eli Lilly non-opioid pain drug nears finish line,,,,,
,Vicki Robin the co-author of “Your Money or Your Life” is often called one of the founders of the FIRE movement. This is an abridged version of a blog post — “Suze Orman — A Wet Blanket on FIRE” — that appeared on her website.,,,,,,
,,Would you like to sign up to an email alert when a new Moneyist column has been published, If so click on this link.,,,,
,,Speaking to reporters in the Oval Office Trump also said he didn’t have proof that there were people from the Middle East traveling in the caravan making its way to the U.S. At one point Trump turned to Vice President Mike Pence for an update on the situation. Pence said the caravan was being backed by “leftist organizations” and Venezuela. “And the Democrats maybe,” Trump said gesturing toward Sen. Tom Carper a Democrat who was on hand for a bill signing.,,,,
,,The tariffs would particularly affect German car makers which last year sold 1.35 million new vehicles in the U.S. according to the VDA the main lobby group for Germany’s auto industry.,,,,,
